time	V(a)	V(b)	V(out)
3.674909545820648e-004	3.364336e+000	1.682168e+000	1.682168e+000
3.684675170820648e-004	3.248120e+000	1.624060e+000	1.624060e+000
3.694440795820648e-004	3.149477e+000	1.574739e+000	1.574739e+000
3.704206420820648e-004	3.068782e+000	1.534391e+000	1.534391e+000
3.713972045820648e-004	3.006338e+000	1.503169e+000	1.503169e+000
3.723737670820648e-004	2.962380e+000	1.481190e+000	1.481190e+000
3.733503295820648e-004	2.937077e+000	1.468539e+000	1.468539e+000
3.743268920820648e-004	2.930524e+000	1.465262e+000	1.465262e+000
3.753034545820648e-004	2.942746e+000	1.471373e+000	1.471373e+000
3.762800170820648e-004	2.973699e+000	1.486849e+000	1.486849e+000
3.772565795820648e-004	3.023266e+000	1.511633e+000	1.511633e+000
3.782331420820648e-004	3.091263e+000	1.545631e+000	1.545631e+000
3.792097045820648e-004	3.177434e+000	1.588717e+000	1.588717e+000
3.801862670820648e-004	3.281456e+000	1.640728e+000	1.640728e+000
3.821393920820648e-004	3.541425e+000	1.770712e+000	1.770712e+000
3.840925170820648e-004	3.867266e+000	1.933633e+000	1.933633e+000
3.860456420820648e-004	4.254087e+000	2.127043e+000	2.127044e+000
3.879987670820648e-004	4.696076e+000	2.348038e+000	2.348038e+000
3.899518920820648e-004	5.186594e+000	2.593297e+000	2.593297e+000
3.919050170820648e-004	5.718268e+000	2.859134e+000	2.859134e+000
3.928815795820648e-004	5.997064e+000	2.998368e+000	2.965666e+000
3.938581420820648e-004	6.283109e+000	3.140882e+000	3.006397e+000
3.948347045820648e-004	6.575329e+000	3.286280e+000	3.009321e+000
3.967878295820648e-004	7.173877e+000	3.584065e+000	3.009321e+000
3.987409545820648e-004	7.783710e+000	3.887464e+000	3.009321e+000
3.997175170820648e-004	8.089996e+000	4.039846e+000	3.009321e+000
4.016706420820648e-004	8.699556e+000	4.343109e+000	3.009321e+000
4.036237670820648e-004	9.297470e+000	4.640579e+000	3.009321e+000
