time	V(a)	V(b)	V(out)	V(n002)
2.356549999922210e-004	1.162614e+001	5.798836e+000	2.952318e+000	3.920743e+000
2.366315624922210e-004	1.141767e+001	5.695112e+000	2.950595e+000	3.723094e+000
2.376081249922210e-004	1.119587e+001	5.584756e+000	2.948692e+000	3.511433e+000
2.385846874922210e-004	1.096158e+001	5.468184e+000	2.946595e+000	3.286556e+000
2.395612499922210e-004	1.071569e+001	5.345836e+000	2.944292e+000	3.049308e+000
2.405378124922210e-004	1.045911e+001	5.218172e+000	2.941764e+000	2.800584e+000
2.424909374922210e-004	9.917810e+000	4.948841e+000	2.935950e+000	2.272489e+000
2.444440624922210e-004	9.345843e+000	4.664245e+000	2.928933e+000	1.710213e+000
2.463971874922210e-004	8.751820e+000	4.368669e+000	2.920375e+000	1.122215e+000
2.483503124922210e-004	8.144688e+000	4.066559e+000	2.909719e+000	5.173371e-001
2.503034374922210e-004	7.533587e+000	3.762461e+000	2.895968e+000	-9.532192e-002
2.522565624922210e-004	6.927721e+000	3.460941e+000	2.877049e+000	-7.065472e-001
2.532331249922210e-004	6.629609e+000	3.312563e+000	2.864241e+000	-1.008745e+000
2.542096874922210e-004	6.336213e+000	3.166511e+000	2.847382e+000	-1.307145e+000
2.551862499922210e-004	6.048639e+000	3.023319e+000	2.823077e+000	-1.600626e+000
2.561628124922210e-004	5.767971e+000	2.883483e+000	2.782935e+000	-1.888083e+000
2.571393749922210e-004	5.495265e+000	2.747460e+000	2.712879e+000	-2.168433e+000
2.581159374922210e-004	5.231550e+000	2.615742e+000	2.609232e+000	-2.440622e+000
2.590924999922210e-004	4.977818e+000	2.488907e+000	2.488497e+000	-2.703624e+000
2.600690624922210e-004	4.735027e+000	2.367514e+000	2.367664e+000	-2.956451e+000
2.620221874922210e-004	4.285880e+000	2.142941e+000	2.143134e+000	-3.427813e+000
2.639753124922210e-004	3.890876e+000	1.945439e+000	1.945632e+000	-3.847618e+000
2.659284374922210e-004	3.555965e+000	1.777984e+000	1.778177e+000	-4.209550e+000
2.678815624922210e-004	3.286198e+000	1.643100e+000	1.643293e+000	-4.508168e+000
2.688581249922210e-004	3.177053e+000	1.588528e+000	1.588721e+000	-4.632290e+000
2.698346874922210e-004	3.085640e+000	1.542821e+000	1.543014e+000	-4.738978e+000
2.708112499922210e-004	3.012304e+000	1.506153e+000	1.506346e+000	-4.827829e+000
2.717878124922210e-004	2.957321e+000	1.478661e+000	1.478855e+000	-4.898509e+000
2.727643749922210e-004	2.920900e+000	1.460451e+000	1.460644e+000	-4.950753e+000
2.737409374922210e-004	2.903179e+000	1.451590e+000	1.451784e+000	-4.984363e+000
2.747174999922210e-004	2.904227e+000	1.452114e+000	1.452307e+000	-4.999212e+000
2.756940624922210e-004	2.924040e+000	1.462021e+000	1.462214e+000	-4.995246e+000
2.766706249922210e-004	2.962546e+000	1.481274e+000	1.481467e+000	-4.972479e+000
2.776471874922210e-004	3.019600e+000	1.509801e+000	1.509994e+000	-4.930997e+000
2.786237499922210e-004	3.094990e+000	1.547496e+000	1.547689e+000	-4.870955e+000
2.796003124922210e-004	3.188433e+000	1.594217e+000	1.594411e+000	-4.792581e+000
2.805768749922210e-004	3.299578e+000	1.649790e+000	1.649983e+000	-4.696168e+000
2.825299999922210e-004	3.573242e+000	1.786622e+000	1.786815e+000	-4.450746e+000
2.844831249922210e-004	3.911876e+000	1.955939e+000	1.956132e+000	-4.138381e+000
2.864362499922210e-004	4.310397e+000	2.155200e+000	2.155392e+000	-3.763770e+000
2.883893749922210e-004	4.762821e+000	2.381411e+000	2.381546e+000	-3.332549e+000
2.893659374922210e-004	5.007152e+000	2.503573e+000	2.502943e+000	-3.097705e+000
2.903424999922210e-004	5.262353e+000	2.631135e+000	2.622829e+000	-2.851203e+000
2.913190624922210e-004	5.527463e+000	2.763530e+000	2.723146e+000	-2.593969e+000
2.922956249922210e-004	5.801487e+000	2.900188e+000	2.789096e+000	-2.326972e+000
2.932721874922210e-004	6.083394e+000	3.040627e+000	2.826607e+000	-2.051217e+000
2.942487499922210e-004	6.372123e+000	3.184389e+000	2.849774e+000	-1.767742e+000
2.952253124922210e-004	6.666590e+000	3.330971e+000	2.866164e+000	-1.477613e+000
2.962018749922210e-004	6.965686e+000	3.479837e+000	2.878617e+000	-1.181923e+000
2.981549999922211e-004	7.573256e+000	3.782202e+000	2.897005e+000	-5.783265e-001
3.001081249922211e-004	8.185704e+000	4.086970e+000	2.910522e+000	3.396821e-002
3.020612499922211e-004	8.793829e+000	4.389572e+000	2.921034e+000	6.457520e-001
3.040143749922211e-004	9.388491e+000	4.685466e+000	2.929494e+000	1.247823e+000
3.059674999922211e-004	9.960756e+000	4.970209e+000	2.936438e+000	1.831126e+000
3.079206249922211e-004	1.050203e+001	5.239527e+000	2.942196e+000	2.386887e+000
3.088971874922211e-004	1.075848e+001	5.367126e+000	2.944700e+000	2.651807e+000
3.098737499922211e-004	1.100417e+001	5.489372e+000	2.946983e+000	2.906746e+000
3.108503124922211e-004	1.123818e+001	5.605808e+000	2.949060e+000	3.150746e+000
3.118268749922211e-004	1.145964e+001	5.715995e+000	2.950947e+000	3.382886e+000
3.128034374922211e-004	1.166771e+001	5.819519e+000	2.952654e+000	3.602294e+000
3.137799999922211e-004	1.186160e+001	5.915990e+000	2.954192e+000	3.808144e+000
3.147565624922211e-004	1.204059e+001	6.005047e+000	2.955569e+000	3.999661e+000
3.157331249922211e-004	1.220401e+001	6.086355e+000	2.956792e+000	4.176124e+000
3.167096874922211e-004	1.235124e+001	6.159609e+000	2.957868e+000	4.336869e+000
3.176862499922211e-004	1.248172e+001	6.224533e+000	2.958802e+000	4.481291e+000
3.186628124922211e-004	1.259498e+001	6.280883e+000	2.959598e+000	4.608846e+000
3.196393749922211e-004	1.269058e+001	6.328449e+000	2.960260e+000	4.719055e+000
3.206159374922211e-004	1.276817e+001	6.367051e+000	2.960790e+000	4.811502e+000
3.215924999922211e-004	1.282744e+001	6.396545e+000	2.961192e+000	4.885840e+000
3.225690624922211e-004	1.286820e+001	6.416821e+000	2.961466e+000	4.941789e+000
3.235456249922211e-004	1.289027e+001	6.427802e+000	2.961613e+000	4.979138e+000
3.245221874922211e-004	1.289357e+001	6.429448e+000	2.961636e+000	4.997747e+000
3.254987499922211e-004	1.287811e+001	6.421754e+000	2.961532e+000	4.997545e+000
3.264753124922211e-004	1.284393e+001	6.404748e+000	2.961303e+000	4.978534e+000
3.274518749922211e-004	1.279117e+001	6.378495e+000	2.960947e+000	4.940784e+000
3.284284374922211e-004	1.272002e+001	6.343095e+000	2.960462e+000	4.884439e+000
3.294049999922211e-004	1.263075e+001	6.298681e+000	2.959847e+000	4.809710e+000
3.303815624922211e-004	1.252371e+001	6.245421e+000	2.959099e+000	4.716877e+000
3.313581249922211e-004	1.239929e+001	6.183517e+000	2.958214e+000	4.606292e+000
3.323346874922211e-004	1.225796e+001	6.113200e+000	2.957189e+000	4.478370e+000
3.333112499922211e-004	1.210026e+001	6.034737e+000	2.956019e+000	4.333591e+000
3.342878124922211e-004	1.192678e+001	5.948423e+000	2.954698e+000	4.172503e+000
3.352643749922211e-004	1.173818e+001	5.854584e+000	2.953218e+000	3.995710e+000
3.362409374922211e-004	1.153517e+001	5.753572e+000	2.951573e+000	3.803878e+000
3.372174999922211e-004	1.131850e+001	5.645771e+000	2.949753e+000	3.597729e+000
3.381940624922211e-004	1.108901e+001	5.531584e+000	2.947746e+000	3.378040e+000
3.391706249922211e-004	1.084754e+001	5.411442e+000	2.945540e+000	3.145635e+000
3.401471874922211e-004	1.059502e+001	5.285798e+000	2.943119e+000	2.901392e+000
3.411237499922211e-004	1.033240e+001	5.155125e+000	2.940464e+000	2.646228e+000
3.430768749922211e-004	9.780820e+000	4.880679e+000	2.934360e+000	2.107019e+000
3.450299999922211e-004	9.201117e+000	4.592232e+000	2.926983e+000	1.536119e+000
3.469831249922211e-004	8.602013e+000	4.294126e+000	2.917954e+000	9.421136e-001
3.489362499922211e-004	7.992529e+000	3.990843e+000	2.906639e+000	3.339382e-001
3.508893749922211e-004	7.381839e+000	3.686944e+000	2.891863e+000	-2.792600e-001
3.518659374922211e-004	7.078918e+000	3.536191e+000	2.882484e+000	-5.848595e-001
3.528424999922211e-004	6.779138e+000	3.386989e+000	2.871069e+000	-8.882579e-001
3.538190624922211e-004	6.483625e+000	3.239896e+000	2.856571e+000	-1.188313e+000
3.547956249922211e-004	6.193496e+000	3.095454e+000	2.836736e+000	-1.483895e+000
3.557721874922211e-004	5.909842e+000	2.954181e+000	2.806268e+000	-1.773893e+000
3.567487499922211e-004	5.633731e+000	2.816549e+000	2.753224e+000	-2.057214e+000
3.577253124922211e-004	5.366203e+000	2.683017e+000	2.666171e+000	-2.332792e+000
3.587018749922211e-004	5.108267e+000	2.554123e+000	2.552063e+000	-2.599590e+000
3.596784374922211e-004	4.860893e+000	2.430447e+000	2.430471e+000	-2.856604e+000
3.616315624922211e-004	4.401518e+000	2.200760e+000	2.200952e+000	-3.337449e+000
3.635846874922211e-004	3.994996e+000	1.997499e+000	1.997692e+000	-3.768097e+000
3.655378124922211e-004	3.647448e+000	1.823725e+000	1.823918e+000	-4.142068e+000
3.674909374922211e-004	3.364110e+000	1.682056e+000	1.682249e+000	-4.453739e+000
3.684674999922211e-004	3.247894e+000	1.623948e+000	1.624141e+000	-4.584709e+000
3.694440624922211e-004	3.149252e+000	1.574627e+000	1.574820e+000	-4.698422e+000
