#v1	V(vd)	Vvd
#simulazione con valori ricavati da analisi circuito 1 con generatore in dc da 0 a 10 Volt
#si trova la v_on con doppio fit
5.85999999999992	0.5015653	501.5653
5.86999999999992	0.5017425	501.7425
5.87999999999992	0.5019191	501.9191
5.88999999999992	0.5020952	502.0952
5.89999999999992	0.5022706	502.2706
5.90999999999992	0.5024456	502.4456
5.91999999999992	0.5026199	502.6199
5.92999999999992	0.5027937	502.7937
5.93999999999992	0.5029669	502.9669
5.94999999999992	0.5031396	503.1396
5.95999999999992	0.5033117	503.3117
5.96999999999992	0.5034833	503.4833
5.97999999999992	0.5036543	503.6543
5.98999999999992	0.5038248	503.8248
5.99999999999992	0.5039947	503.9947
6.00999999999992	0.5041641	504.1641
6.01999999999992	0.504333	504.333
6.02999999999992	0.5045013	504.5013
6.03999999999992	0.5046691	504.6691
6.04999999999991	0.5048363	504.8363
6.05999999999992	0.5050031	505.0031
6.06999999999992	0.5051693	505.1693
6.07999999999992	0.505335	505.335
6.08999999999991	0.5055003	505.5003
6.09999999999991	0.5056649	505.6649
6.10999999999991	0.5058291	505.8291
6.11999999999991	0.5059928	505.9928
6.12999999999991	0.506156	506.156
6.13999999999991	0.5063186	506.3186
6.14999999999991	0.5064808	506.4808
6.15999999999991	0.5066425	506.6425
6.16999999999991	0.5068037	506.8037
6.17999999999991	0.5069644	506.9644
6.18999999999991	0.5071247	507.1247
6.19999999999991	0.5072844	507.2844
6.20999999999991	0.5074437	507.4437
6.21999999999991	0.5076025	507.6025
6.22999999999991	0.5077608	507.7608
6.23999999999991	0.5079187	507.9187
6.24999999999991	0.508076	508.076
6.25999999999991	0.508233	508.233
6.26999999999991	0.5083894	508.3894
6.27999999999991	0.5085453	508.5453
6.28999999999991	0.5087009	508.7009
6.29999999999991	0.5088559	508.8559
6.30999999999991	0.5090106	509.0106
6.31999999999991	0.5091648	509.1648
6.32999999999991	0.5093185	509.3185
6.33999999999991	0.5094718	509.4718
6.34999999999991	0.5096246	509.6246
6.35999999999991	0.509777	509.777
6.36999999999991	0.5099289	509.9289
6.37999999999991	0.5100805	510.0805
6.38999999999991	0.5102316	510.2316
6.39999999999991	0.5103822	510.3822
6.40999999999991	0.5105324	510.5324
6.41999999999991	0.5106822	510.6822
6.42999999999991	0.5108316	510.8316
6.43999999999991	0.5109805	510.9805
6.44999999999991	0.511129	511.129
6.45999999999991	0.5112771	511.2771
6.46999999999991	0.5114248	511.4248
6.47999999999991	0.5115721	511.5721
6.48999999999991	0.511719	511.719
6.49999999999991	0.5118654	511.8654
6.50999999999991	0.5120115	512.0115
6.51999999999991	0.5121571	512.1571
6.52999999999991	0.5123024	512.3024
6.53999999999991	0.5124472	512.4472
6.54999999999991	0.5125917	512.5917
6.5599999999999	0.5127357	512.7357
6.5699999999999	0.5128794	512.8794
6.5799999999999	0.5130227	513.0227
6.5899999999999	0.5131655	513.1655
6.5999999999999	0.513308	513.308
6.6099999999999	0.5134501	513.4501
6.6199999999999	0.5135918	513.5918
6.6299999999999	0.5137331	513.7331
6.6399999999999	0.5138741	513.8741
6.6499999999999	0.5140147	514.0147
6.6599999999999	0.5141549	514.1549
6.6699999999999	0.5142947	514.2947
6.6799999999999	0.5144341	514.4341
6.6899999999999	0.5145732	514.5732
6.6999999999999	0.5147119	514.7119
6.7099999999999	0.5148503	514.8503
6.7199999999999	0.5149882	514.9882
6.7299999999999	0.5151258	515.1258
6.7399999999999	0.5152631	515.2631
6.7499999999999	0.5153999	515.3999
6.7599999999999	0.5155365	515.5365
6.7699999999999	0.5156726	515.6726
6.7799999999999	0.5158085	515.8085
6.7899999999999	0.5159439	515.9439
6.7999999999999	0.5160791	516.0791
6.8099999999999	0.5162138	516.2138
6.8199999999999	0.5163482	516.3482
6.8299999999999	0.5164823	516.4823
6.8399999999999	0.516616	516.616
6.8499999999999	0.5167494	516.7494
6.8599999999999	0.5168824	516.8824
6.8699999999999	0.5170152	517.0152
6.8799999999999	0.5171475	517.1475
6.8899999999999	0.5172795	517.2795
6.8999999999999	0.5174112	517.4112
6.9099999999999	0.5175426	517.5426
6.9199999999999	0.5176736	517.6736
6.9299999999999	0.5178043	517.8043
6.9399999999999	0.5179347	517.9347
6.9499999999999	0.5180647	518.0647
6.9599999999999	0.5181944	518.1944
6.9699999999999	0.5183238	518.3238
6.9799999999999	0.5184529	518.4529
6.9899999999999	0.5185816	518.5816
6.9999999999999	0.5187101	518.7101
7.0099999999999	0.5188382	518.8382
7.0199999999999	0.518966	518.966
7.0299999999999	0.5190935	519.0935
7.03999999999989	0.5192207	519.2207
7.04999999999989	0.5193475	519.3475
7.05999999999989	0.519474	519.474
7.06999999999989	0.5196003	519.6003
7.07999999999989	0.5197262	519.7262
7.08999999999989	0.5198519	519.8519
7.09999999999989	0.5199772	519.9772
7.10999999999989	0.5201022	520.1022
7.11999999999989	0.5202269	520.2269
7.12999999999989	0.5203514	520.3514
7.13999999999989	0.5204754	520.4754
7.14999999999989	0.5205992	520.5992
7.15999999999989	0.5207228	520.7228
7.16999999999989	0.520846	520.846
7.17999999999989	0.520969	520.969
7.18999999999989	0.5210916	521.0916
7.19999999999989	0.5212139	521.2139
7.20999999999989	0.521336	521.336
7.21999999999989	0.5214578	521.4578
7.22999999999989	0.5215793	521.5793
7.23999999999989	0.5217005	521.7005
7.24999999999989	0.5218214	521.8214
7.25999999999989	0.521942	521.942
7.26999999999989	0.5220624	522.0624
7.27999999999989	0.5221825	522.1825
7.28999999999989	0.5223023	522.3023
7.29999999999989	0.5224218	522.4218
7.30999999999989	0.522541	522.541
7.31999999999989	0.52266	522.66
7.32999999999989	0.5227786	522.7786
7.33999999999989	0.5228971	522.8971
7.34999999999989	0.5230152	523.0152
7.35999999999989	0.5231331	523.1331
7.36999999999989	0.5232507	523.2507
7.37999999999989	0.523368	523.368
7.38999999999989	0.5234851	523.4851
7.39999999999989	0.5236019	523.6019
7.40999999999989	0.5237184	523.7184
7.41999999999989	0.5238346	523.8346
7.42999999999989	0.5239507	523.9507
7.43999999999989	0.5240664	524.0664
7.44999999999989	0.5241819	524.1819
7.45999999999989	0.5242971	524.2971
7.46999999999989	0.5244121	524.4121
7.47999999999989	0.5245268	524.5268
7.48999999999989	0.5246413	524.6413
7.49999999999989	0.5247555	524.7555
7.50999999999988	0.5248694	524.8694
7.51999999999988	0.5249831	524.9831
7.52999999999988	0.5250965	525.0965
7.53999999999988	0.5252097	525.2097
7.54999999999988	0.5253227	525.3227
7.55999999999988	0.5254354	525.4354
7.56999999999988	0.5255478	525.5478
7.57999999999988	0.52566	525.66
7.58999999999988	0.525772	525.772
7.59999999999988	0.5258837	525.8837
7.60999999999988	0.5259951	525.9951
7.61999999999988	0.5261064	526.1064
7.62999999999988	0.5262173	526.2173
7.63999999999988	0.5263281	526.3281
7.64999999999988	0.5264386	526.4386
7.65999999999988	0.5265489	526.5489
7.66999999999988	0.5266589	526.6589
7.67999999999988	0.5267687	526.7687
7.68999999999988	0.5268782	526.8782
7.69999999999988	0.5269876	526.9876
